Sensor ID,Timestamp,pH,Dissolved Oxygen,CO2 Levels,Turbidity
3,2025-01-23 21:23:48,7.82,9.52,0.1,4.56
3,2025-01-23 21:24:48,6.53,5.22,0.73,3.43
8,2025-01-23 21:25:48,6.79,8.8,0.29,4.5
10,2025-01-23 21:26:48,8.59,5.84,0.2,3.67
4,2025-01-23 21:27:48,7.44,8.24,0.97,0.31
10,2025-01-23 21:28:48,8.53,6.48,0.46,1.87
10,2025-01-23 21:29:48,8.44,6.6,0.32,1.3
10,2025-01-23 21:30:48,6.5,6.13,0.41,2.9
5,2025-01-23 21:31:48,7.59,7.5,0.57,1.64
5,2025-01-23 21:32:48,7.97,5.01,0.75,1.85
3,2025-01-23 21:33:48,7.58,5.19,0.55,2.75
3,2025-01-23 21:34:48,7.43,5.18,0.49,4.51
5,2025-01-23 21:35:48,6.67,9.76,0.83,2.93
2,2025-01-23 21:36:48,8.32,5.07,0.18,3.74
6,2025-01-23 21:37:48,8.15,7.25,0.33,3.98
9,2025-01-23 21:38:48,6.77,6.95,1.0,1.51
6,2025-01-23 21:39:48,6.79,7.39,0.11,3.2
3,2025-01-23 21:40:48,8.88,7.48,0.99,3.23
10,2025-01-23 21:41:48,7.42,8.02,0.71,4.95
9,2025-01-23 21:42:48,6.8,8.42,0.3,2.0
4,2025-01-23 21:43:48,6.05,8.38,0.32,3.37
10,2025-01-23 21:44:48,8.24,7.32,0.31,1.45
4,2025-01-23 21:45:48,6.16,5.94,0.37,1.28
6,2025-01-23 21:46:48,6.79,5.61,0.53,2.82
7,2025-01-23 21:47:48,8.94,10.0,0.99,2.41
7,2025-01-23 21:48:48,8.52,9.03,0.47,0.64
1,2025-01-23 21:49:48,8.36,5.87,0.91,1.83
4,2025-01-23 21:50:48,8.61,8.77,0.43,4.46
9,2025-01-23 21:51:48,6.02,7.06,0.73,2.62
8,2025-01-23 21:52:48,7.64,6.26,0.18,0.71
10,2025-01-23 21:53:48,8.41,8.52,0.18,4.72
1,2025-01-23 21:54:48,8.82,9.71,0.14,1.25
10,2025-01-23 21:55:48,7.92,8.98,0.16,2.79
9,2025-01-23 21:56:48,8.71,6.78,0.96,1.91
8,2025-01-23 21:57:48,7.64,6.58,0.93,2.22
8,2025-01-23 21:58:48,8.66,8.85,0.19,2.62
7,2025-01-23 21:59:48,6.43,8.06,0.35,2.01
2,2025-01-23 22:00:48,6.32,7.39,0.41,3.11
6,2025-01-23 22:01:48,6.39,5.34,0.89,1.77
6,2025-01-23 22:02:48,6.75,5.24,0.98,2.48
2,2025-01-23 22:03:48,6.47,5.02,0.44,4.46
1,2025-01-23 22:04:48,7.67,5.31,0.18,4.89
1,2025-01-23 22:05:48,7.24,7.08,0.74,4.46
10,2025-01-23 22:06:48,6.19,8.24,0.11,3.65
7,2025-01-23 22:07:48,7.26,8.13,0.78,2.54
1,2025-01-23 22:08:48,8.34,5.54,0.4,0.46
6,2025-01-23 22:09:48,8.04,8.96,0.48,3.84
3,2025-01-23 22:10:48,7.14,9.04,0.2,3.37
6,2025-01-23 22:11:48,6.91,5.86,0.54,1.1
6,2025-01-23 22:12:48,6.23,8.05,0.93,2.54
5,2025-01-23 22:13:48,8.5,9.45,0.48,0.95
6,2025-01-23 22:14:48,7.35,7.09,0.21,2.82
2,2025-01-23 22:15:48,7.2,6.05,0.2,3.43
3,2025-01-23 22:16:48,7.72,6.28,0.89,0.73
7,2025-01-23 22:17:48,8.44,6.09,0.45,3.78
8,2025-01-23 22:18:48,8.93,9.75,0.56,0.76
7,2025-01-23 22:19:48,8.28,7.16,0.74,3.31
4,2025-01-23 22:20:48,8.05,7.19,0.38,3.98
4,2025-01-23 22:21:48,6.78,7.72,0.9,2.33
4,2025-01-23 22:22:48,6.4,8.36,0.16,3.19
4,2025-01-23 22:23:48,7.29,5.94,0.23,2.92
4,2025-01-23 22:24:48,6.67,6.34,0.21,0.67
5,2025-01-23 22:25:48,8.97,5.09,0.56,4.73
9,2025-01-23 22:26:48,6.58,5.28,0.62,1.06
1,2025-01-23 22:27:48,8.42,9.98,0.61,4.63
2,2025-01-23 22:28:48,7.0,9.24,0.94,4.47
2,2025-01-23 22:29:48,8.86,9.46,0.71,2.67
1,2025-01-23 22:30:48,7.86,6.81,0.14,0.17
3,2025-01-23 22:31:48,6.3,8.57,0.9,2.72
10,2025-01-23 22:32:48,6.98,5.41,0.93,3.78
5,2025-01-23 22:33:48,7.63,7.84,0.26,1.08
4,2025-01-23 22:34:48,6.09,9.52,0.25,1.69
5,2025-01-23 22:35:48,7.13,5.87,0.61,2.96
3,2025-01-23 22:36:48,6.48,8.99,0.49,1.37
1,2025-01-23 22:37:48,7.17,9.04,0.71,4.08
6,2025-01-23 22:38:48,8.56,6.14,0.86,0.39
1,2025-01-23 22:39:48,7.33,5.61,0.44,0.61
9,2025-01-23 22:40:48,7.2,9.9,0.77,2.57
7,2025-01-23 22:41:48,7.85,9.56,0.18,1.07
6,2025-01-23 22:42:48,8.98,8.78,0.67,4.03
7,2025-01-23 22:43:48,6.32,7.02,0.74,1.15
7,2025-01-23 22:44:48,6.9,8.48,0.73,0.29
10,2025-01-23 22:45:48,8.13,8.16,0.61,3.18
2,2025-01-23 22:46:48,8.29,9.42,0.47,4.62
10,2025-01-23 22:47:48,6.21,8.29,0.73,4.96
3,2025-01-23 22:48:48,6.99,6.91,0.59,1.26
1,2025-01-23 22:49:48,8.03,8.62,0.53,3.7
5,2025-01-23 22:50:48,6.83,6.26,0.21,2.17
6,2025-01-23 22:51:48,6.61,7.75,0.68,0.73
6,2025-01-23 22:52:48,7.65,8.54,0.73,4.64
5,2025-01-23 22:53:48,6.3,6.17,0.12,1.61
4,2025-01-23 22:54:48,8.64,5.69,0.37,2.27
2,2025-01-23 22:55:48,7.13,7.28,0.27,1.52
1,2025-01-23 22:56:48,8.87,9.64,0.55,2.59
9,2025-01-23 22:57:48,6.84,9.83,0.87,1.15
1,2025-01-23 22:58:48,8.27,8.77,0.99,4.48
9,2025-01-23 22:59:48,7.74,8.51,0.24,0.44
9,2025-01-23 23:00:48,6.37,7.49,0.17,3.4
7,2025-01-23 23:01:48,7.34,8.57,0.6,1.14
2,2025-01-23 23:02:48,8.78,5.55,0.67,1.19
2,2025-01-23 23:03:48,6.31,5.03,0.51,2.25
10,2025-01-23 23:04:48,6.9,7.38,0.47,3.29
5,2025-01-23 23:05:48,8.99,7.52,0.84,2.81
1,2025-01-23 23:06:48,7.93,9.65,0.51,2.93
3,2025-01-23 23:07:48,6.5,5.36,0.97,1.01
3,2025-01-23 23:08:48,8.6,6.41,0.11,1.75
1,2025-01-23 23:09:48,6.61,6.03,0.51,1.66
3,2025-01-23 23:10:48,8.08,9.73,0.65,3.56
10,2025-01-23 23:11:48,7.0,9.07,0.76,1.44
9,2025-01-23 23:12:48,6.87,7.53,0.45,4.83
4,2025-01-23 23:13:48,6.23,6.84,0.81,2.08
4,2025-01-23 23:14:48,7.85,6.46,0.41,2.39
7,2025-01-23 23:15:48,6.03,5.01,0.27,2.38
2,2025-01-23 23:16:48,6.62,6.44,0.14,3.18
9,2025-01-23 23:17:48,7.72,7.43,0.96,2.45
1,2025-01-23 23:18:48,7.21,6.26,0.86,2.14
3,2025-01-23 23:19:48,6.49,6.28,0.86,1.91
1,2025-01-23 23:20:48,8.1,8.4,0.41,3.14
2,2025-01-23 23:21:48,8.97,5.44,0.46,0.61
6,2025-01-23 23:22:48,8.09,5.27,0.1,0.68
10,2025-01-23 23:23:48,7.12,9.18,0.89,0.72
3,2025-01-23 23:24:48,8.52,9.45,0.99,3.44
1,2025-01-23 23:25:48,6.1,7.42,0.17,0.66
5,2025-01-23 23:26:48,7.44,7.77,0.6,2.03
1,2025-01-23 23:27:48,8.03,6.28,0.75,1.04
10,2025-01-23 23:28:48,8.52,5.52,0.82,4.71
6,2025-01-23 23:29:48,7.78,6.65,0.35,4.84
4,2025-01-23 23:30:48,6.48,7.17,0.15,2.75
5,2025-01-23 23:31:48,7.39,5.89,0.12,4.39
1,2025-01-23 23:32:48,7.53,6.87,0.43,1.17
8,2025-01-23 23:33:48,8.58,5.18,0.55,4.62
6,2025-01-23 23:34:48,7.04,6.04,0.93,4.86
4,2025-01-23 23:35:48,8.73,8.05,0.35,4.18
9,2025-01-23 23:36:48,7.34,5.04,0.69,1.52
7,2025-01-23 23:37:48,6.01,5.7,0.89,2.49
2,2025-01-23 23:38:48,6.6,5.67,0.97,2.93
8,2025-01-23 23:39:48,6.56,5.52,0.15,0.31
9,2025-01-23 23:40:48,7.09,9.2,0.49,3.97
4,2025-01-23 23:41:48,8.93,9.53,0.86,3.15
2,2025-01-23 23:42:48,8.74,8.36,0.91,4.81
9,2025-01-23 23:43:48,8.72,9.67,0.48,1.27
5,2025-01-23 23:44:48,8.51,9.93,0.62,2.7
10,2025-01-23 23:45:48,6.54,5.31,0.97,0.7
1,2025-01-23 23:46:48,7.06,8.58,0.3,0.62
2,2025-01-23 23:47:48,6.72,8.33,0.61,0.24
2,2025-01-23 23:48:48,8.5,5.38,0.73,1.25
6,2025-01-23 23:49:48,8.52,6.09,0.58,0.68
5,2025-01-23 23:50:48,8.82,7.32,0.64,1.79
3,2025-01-23 23:51:48,7.88,7.96,0.38,3.45
1,2025-01-23 23:52:48,7.04,9.17,0.16,4.12
10,2025-01-23 23:53:48,8.98,9.03,0.47,0.14
2,2025-01-23 23:54:48,6.04,9.7,0.94,4.92
2,2025-01-23 23:55:48,8.92,7.36,0.77,1.42
9,2025-01-23 23:56:48,8.75,9.55,0.21,1.94
1,2025-01-23 23:57:48,6.28,5.87,0.25,4.98
10,2025-01-23 23:58:48,6.94,5.27,0.31,0.17
4,2025-01-23 23:59:48,6.8,8.25,0.4,1.01
6,2025-01-24 00:00:48,8.36,6.97,0.72,4.06
10,2025-01-24 00:01:48,6.13,9.9,0.52,2.04
4,2025-01-24 00:02:48,8.44,5.52,0.33,0.55
10,2025-01-24 00:03:48,7.24,8.27,0.64,1.8
6,2025-01-24 00:04:48,7.71,5.23,0.72,4.24
3,2025-01-24 00:05:48,7.38,6.11,0.94,1.09
2,2025-01-24 00:06:48,7.96,8.94,0.35,2.58
2,2025-01-24 00:07:48,6.66,9.82,0.18,0.36
5,2025-01-24 00:08:48,6.36,5.29,0.29,4.23
3,2025-01-24 00:09:48,8.32,8.0,0.16,1.07
4,2025-01-24 00:10:48,8.76,6.6,0.11,0.21
4,2025-01-24 00:11:48,6.93,8.13,0.91,3.1
3,2025-01-24 00:12:48,6.4,9.94,0.87,0.49
4,2025-01-24 00:13:48,8.54,7.75,0.74,1.66
6,2025-01-24 00:14:48,7.86,6.74,0.46,0.12
2,2025-01-24 00:15:48,7.07,7.53,0.14,4.57
3,2025-01-24 00:16:48,8.99,7.29,0.63,2.25
3,2025-01-24 00:17:48,7.59,9.09,0.96,4.87
8,2025-01-24 00:18:48,6.19,6.35,0.57,0.97
1,2025-01-24 00:19:48,6.68,7.64,0.86,2.28
3,2025-01-24 00:20:48,8.23,5.81,0.37,0.37
4,2025-01-24 00:21:48,8.91,9.18,0.61,3.56
8,2025-01-24 00:22:48,6.46,7.62,0.81,3.46
6,2025-01-24 00:23:48,7.13,9.02,0.99,4.91
3,2025-01-24 00:24:48,6.99,5.53,0.61,3.15
6,2025-01-24 00:25:48,8.11,7.19,0.79,0.44
10,2025-01-24 00:26:48,7.77,7.8,0.7,3.08
4,2025-01-24 00:27:48,8.67,8.47,0.88,4.12
6,2025-01-24 00:28:48,6.58,5.46,0.84,1.46
5,2025-01-24 00:29:48,6.66,6.36,0.44,2.12
6,2025-01-24 00:30:48,7.1,8.61,0.97,1.47
7,2025-01-24 00:31:48,6.2,5.43,0.83,4.55
6,2025-01-24 00:32:48,8.88,9.04,0.97,3.63
10,2025-01-24 00:33:48,7.61,9.7,0.53,0.79
10,2025-01-24 00:34:48,6.26,9.64,0.9,4.17
3,2025-01-24 00:35:48,6.42,8.1,0.57,2.54
3,2025-01-24 00:36:48,7.72,7.48,0.68,1.02
6,2025-01-24 00:37:48,8.67,9.92,0.54,2.2
7,2025-01-24 00:38:48,6.2,5.62,0.31,0.22
1,2025-01-24 00:39:48,7.39,5.54,0.97,0.73
3,2025-01-24 00:40:48,7.5,8.52,0.25,1.19
4,2025-01-24 00:41:48,8.28,7.35,0.64,2.82
1,2025-01-24 00:42:48,8.43,5.5,0.11,3.6
4,2025-01-24 00:43:48,7.36,8.02,0.11,2.51
10,2025-01-24 00:44:48,8.88,9.15,0.58,2.36
6,2025-01-24 00:45:48,8.74,7.05,0.62,3.12
4,2025-01-24 00:46:48,6.09,6.59,0.69,3.11
9,2025-01-24 00:47:48,8.34,9.21,0.41,1.01
4,2025-01-24 00:48:48,6.96,8.77,0.64,2.75
8,2025-01-24 00:49:48,6.15,9.71,0.48,2.56
4,2025-01-24 00:50:48,8.17,5.23,0.6,1.71
4,2025-01-24 00:51:48,6.92,8.69,0.52,2.71
9,2025-01-24 00:52:48,7.17,8.71,0.31,1.95
5,2025-01-24 00:53:48,7.4,7.79,0.43,2.49
10,2025-01-24 00:54:48,7.88,7.79,0.6,2.42
2,2025-01-24 00:55:48,8.63,9.08,0.78,1.4
2,2025-01-24 00:56:48,6.33,5.11,0.77,0.44
8,2025-01-24 00:57:48,7.83,5.02,0.71,1.79
10,2025-01-24 00:58:48,6.32,5.72,0.8,2.51
4,2025-01-24 00:59:48,6.17,8.49,0.87,4.21
1,2025-01-24 01:00:48,6.85,8.13,0.93,4.36
3,2025-01-24 01:01:48,7.67,9.36,0.13,2.71
2,2025-01-24 01:02:48,7.17,6.67,0.42,3.05
5,2025-01-24 01:03:48,6.28,9.65,0.44,1.62
2,2025-01-24 01:04:48,8.94,5.17,0.87,2.5
1,2025-01-24 01:05:48,7.47,5.38,0.51,1.5
2,2025-01-24 01:06:48,8.9,6.85,1.0,0.83
8,2025-01-24 01:07:48,7.76,7.88,0.14,2.89
5,2025-01-24 01:08:48,7.1,6.57,0.82,4.61
7,2025-01-24 01:09:48,6.46,5.15,0.56,3.13
3,2025-01-24 01:10:48,7.27,5.09,0.71,2.38
4,2025-01-24 01:11:48,7.98,9.29,0.26,2.08
10,2025-01-24 01:12:48,7.82,9.43,0.78,0.83
9,2025-01-24 01:13:48,7.68,9.51,0.68,0.34
4,2025-01-24 01:14:48,8.7,5.58,0.82,1.53
5,2025-01-24 01:15:48,7.53,8.27,0.32,2.09
2,2025-01-24 01:16:48,8.99,8.51,0.63,2.91
1,2025-01-24 01:17:48,8.46,7.43,0.65,3.6
5,2025-01-24 01:18:48,8.44,9.84,0.93,3.82
9,2025-01-24 01:19:48,8.16,5.24,0.19,2.51
2,2025-01-24 01:20:48,7.64,5.94,0.44,2.6
6,2025-01-24 01:21:48,6.39,7.5,0.4,4.94
5,2025-01-24 01:22:48,7.6,6.1,0.74,0.36
4,2025-01-24 01:23:48,6.81,5.12,0.64,0.52
6,2025-01-24 01:24:48,6.9,9.28,0.32,0.81
5,2025-01-24 01:25:48,6.08,7.86,0.68,2.93
8,2025-01-24 01:26:48,7.15,7.3,0.98,2.31
9,2025-01-24 01:27:48,8.8,7.88,0.94,3.2
6,2025-01-24 01:28:48,7.22,6.35,0.25,1.61
2,2025-01-24 01:29:48,7.76,7.73,0.87,1.76
1,2025-01-24 01:30:48,7.34,5.16,0.16,0.13
6,2025-01-24 01:31:48,8.48,7.53,0.62,1.77
4,2025-01-24 01:32:48,6.36,6.29,0.46,4.24
10,2025-01-24 01:33:48,7.3,7.24,0.94,3.8
4,2025-01-24 01:34:48,6.95,5.15,0.33,2.38
3,2025-01-24 01:35:48,8.89,9.1,0.18,3.95
7,2025-01-24 01:36:48,7.77,9.96,0.51,2.2
4,2025-01-24 01:37:48,7.32,7.61,0.39,0.49
6,2025-01-24 01:38:48,8.68,5.08,0.98,0.42
8,2025-01-24 01:39:48,7.64,7.1,0.7,0.57
8,2025-01-24 01:40:48,8.51,8.39,0.17,4.61
1,2025-01-24 01:41:48,6.28,6.66,0.41,4.86
4,2025-01-24 01:42:48,7.88,8.98,0.25,2.11
5,2025-01-24 01:43:48,8.84,6.81,0.15,1.54
8,2025-01-24 01:44:48,8.85,9.43,0.28,1.05
6,2025-01-24 01:45:48,8.64,5.77,0.28,2.81
2,2025-01-24 01:46:48,6.36,7.85,0.29,3.19
4,2025-01-24 01:47:48,8.25,7.9,0.15,2.69
6,2025-01-24 01:48:48,6.57,8.59,0.35,3.4
10,2025-01-24 01:49:48,8.7,5.38,0.34,3.08
4,2025-01-24 01:50:48,7.87,5.39,0.56,3.12
4,2025-01-24 01:51:48,8.87,7.53,0.77,2.99
3,2025-01-24 01:52:48,6.74,8.41,0.87,0.76
10,2025-01-24 01:53:48,8.38,7.73,0.25,1.19
1,2025-01-24 01:54:48,8.87,8.68,0.94,4.49
2,2025-01-24 01:55:48,8.77,7.38,0.78,4.54
1,2025-01-24 01:56:48,7.47,8.87,0.43,4.86
7,2025-01-24 01:57:48,6.98,7.68,0.85,2.26
10,2025-01-24 01:58:48,6.21,8.42,0.31,1.04
7,2025-01-24 01:59:48,8.19,6.23,0.14,3.18
1,2025-01-24 02:00:48,6.01,9.52,0.86,4.44
9,2025-01-24 02:01:48,6.07,8.35,0.4,3.12
4,2025-01-24 02:02:48,6.61,6.45,0.98,2.07
3,2025-01-24 02:03:48,6.33,5.27,0.96,4.09
7,2025-01-24 02:04:48,6.93,7.68,0.7,0.64
3,2025-01-24 02:05:48,8.29,7.48,0.57,3.0
3,2025-01-24 02:06:48,8.03,9.83,0.61,0.46
3,2025-01-24 02:07:48,8.47,5.0,0.6,0.33
6,2025-01-24 02:08:48,6.37,7.49,0.16,0.85
3,2025-01-24 02:09:48,8.88,6.12,0.48,4.54
10,2025-01-24 02:10:48,6.92,7.05,0.43,4.52
9,2025-01-24 02:11:48,6.25,9.7,0.24,1.34
5,2025-01-24 02:12:48,7.7,7.46,0.21,0.58
3,2025-01-24 02:13:48,6.06,7.32,0.44,1.17
10,2025-01-24 02:14:48,8.07,5.88,0.74,3.28
3,2025-01-24 02:15:48,8.0,9.62,0.97,0.42
1,2025-01-24 02:16:48,6.5,5.36,0.98,2.5
2,2025-01-24 02:17:48,8.1,9.92,0.67,1.67
5,2025-01-24 02:18:48,7.28,5.73,0.79,4.47
6,2025-01-24 02:19:48,6.08,6.84,0.88,3.48
10,2025-01-24 02:20:48,8.2,9.67,0.48,1.41
6,2025-01-24 02:21:48,8.26,9.15,0.95,3.0
6,2025-01-24 02:22:48,8.41,5.45,0.29,1.68
3,2025-01-24 02:23:48,7.24,9.48,0.35,4.32
7,2025-01-24 02:24:48,7.3,7.06,0.14,4.83
10,2025-01-24 02:25:48,6.28,7.64,0.68,0.15
5,2025-01-24 02:26:48,6.48,7.6,0.35,0.43
1,2025-01-24 02:27:48,8.66,6.74,0.8,2.19
5,2025-01-24 02:28:48,6.23,6.43,0.47,3.26
7,2025-01-24 02:29:48,6.18,8.57,0.67,1.59
2,2025-01-24 02:30:48,7.88,8.72,0.93,4.19
9,2025-01-24 02:31:48,7.59,6.59,0.92,1.41
9,2025-01-24 02:32:48,8.0,5.48,0.89,1.31
10,2025-01-24 02:33:48,8.9,9.52,0.48,0.93
4,2025-01-24 02:34:48,6.33,8.54,0.3,2.73
7,2025-01-24 02:35:48,6.19,8.54,0.14,3.72
1,2025-01-24 02:36:48,8.71,9.42,0.94,0.4
5,2025-01-24 02:37:48,8.21,7.14,0.94,3.3
10,2025-01-24 02:38:48,7.45,7.9,0.72,2.83
6,2025-01-24 02:39:48,8.77,8.82,0.32,4.25
3,2025-01-24 02:40:48,6.65,6.36,0.87,1.7
1,2025-01-24 02:41:48,8.07,5.79,0.42,3.76
6,2025-01-24 02:42:48,6.83,6.86,0.23,1.08
6,2025-01-24 02:43:48,7.28,9.12,0.65,3.95
7,2025-01-24 02:44:48,8.33,6.73,0.98,1.82
6,2025-01-24 02:45:48,7.64,8.86,0.57,1.43
2,2025-01-24 02:46:48,7.56,5.34,0.52,2.96
1,2025-01-24 02:47:48,7.02,5.74,0.73,2.88
4,2025-01-24 02:48:48,7.48,9.56,0.87,4.83
3,2025-01-24 02:49:48,8.58,6.71,0.74,2.49
8,2025-01-24 02:50:48,8.42,9.54,0.83,3.73
2,2025-01-24 02:51:48,7.7,5.99,0.79,2.9
5,2025-01-24 02:52:48,8.19,5.57,0.38,2.05
9,2025-01-24 02:53:48,7.48,8.14,0.88,2.32
6,2025-01-24 02:54:48,7.92,8.95,0.27,2.75
7,2025-01-24 02:55:48,8.7,9.52,0.94,2.66
2,2025-01-24 02:56:48,8.02,5.46,0.64,4.86
3,2025-01-24 02:57:48,7.4,9.9,0.59,3.46
7,2025-01-24 02:58:48,6.71,9.46,0.61,0.94
1,2025-01-24 02:59:48,6.83,5.7,0.48,1.87
4,2025-01-24 03:00:48,8.87,5.56,0.42,0.9
9,2025-01-24 03:01:48,6.1,8.65,0.62,4.03
7,2025-01-24 03:02:48,7.97,7.21,0.22,1.78
8,2025-01-24 03:03:48,8.36,7.18,0.51,0.67
8,2025-01-24 03:04:48,8.64,8.89,0.13,4.71
5,2025-01-24 03:05:48,8.83,6.18,0.31,2.71
9,2025-01-24 03:06:48,8.48,7.07,0.92,2.53
4,2025-01-24 03:07:48,8.15,6.68,0.5,1.13
4,2025-01-24 03:08:48,8.38,5.11,0.41,3.73
5,2025-01-24 03:09:48,7.7,8.53,0.16,0.89
5,2025-01-24 03:10:48,6.82,8.15,0.23,2.65
5,2025-01-24 03:11:48,6.4,5.79,0.1,4.27
3,2025-01-24 03:12:48,8.57,5.1,0.98,4.0
8,2025-01-24 03:13:48,8.16,5.97,0.66,3.54
8,2025-01-24 03:14:48,7.55,8.99,0.14,1.29
1,2025-01-24 03:15:48,7.1,9.49,0.31,1.66
7,2025-01-24 03:16:48,6.1,7.88,0.3,2.62
2,2025-01-24 03:17:48,6.87,7.71,0.21,0.16
3,2025-01-24 03:18:48,7.53,8.26,0.41,3.52
7,2025-01-24 03:19:48,8.43,9.6,0.48,0.76
7,2025-01-24 03:20:48,6.98,8.98,0.74,4.03
2,2025-01-24 03:21:48,8.83,6.12,0.71,2.26
3,2025-01-24 03:22:48,7.58,9.6,0.85,4.0
10,2025-01-24 03:23:48,7.35,9.27,0.17,1.62
2,2025-01-24 03:24:48,6.07,5.02,0.78,3.56
5,2025-01-24 03:25:48,6.69,5.25,0.96,1.52
7,2025-01-24 03:26:48,8.22,8.1,0.83,1.89
4,2025-01-24 03:27:48,6.31,6.78,0.98,0.15
2,2025-01-24 03:28:48,6.55,6.96,0.43,4.28
10,2025-01-24 03:29:48,6.51,5.79,0.34,4.45
1,2025-01-24 03:30:48,8.16,7.53,0.92,3.13
5,2025-01-24 03:31:48,8.33,6.48,0.51,1.65
2,2025-01-24 03:32:48,7.75,9.55,0.85,0.52
7,2025-01-24 03:33:48,6.53,9.83,0.34,1.31
4,2025-01-24 03:34:48,6.88,7.32,0.51,2.03
5,2025-01-24 03:35:48,6.81,6.71,0.29,1.77
3,2025-01-24 03:36:48,6.37,8.5,0.62,1.95
1,2025-01-24 03:37:48,7.19,6.35,0.16,1.87
10,2025-01-24 03:38:48,8.68,8.76,0.56,0.35
4,2025-01-24 03:39:48,7.47,6.88,0.59,3.68
1,2025-01-24 03:40:48,7.47,7.69,0.54,0.74
8,2025-01-24 03:41:48,8.98,5.77,0.67,1.84
2,2025-01-24 03:42:48,6.16,7.81,0.59,2.87
4,2025-01-24 03:43:48,7.41,7.01,0.79,4.08
1,2025-01-24 03:44:48,7.35,8.08,0.29,4.81
1,2025-01-24 03:45:48,7.2,9.48,0.79,3.44
8,2025-01-24 03:46:48,6.17,8.73,0.88,3.86
6,2025-01-24 03:47:48,7.88,9.39,0.93,1.19
