entry_id,sensor_id,timestamp,ph,dissolved_oxygen,carbon_dioxide_levels,turbidity
285,3,2025-01-12 05:10:14,7.12,7.06,1.4,0.5
286,1,2025-01-11 20:34:40,7.44,11.83,1.36,1.55
287,3,2025-01-12 06:07:08,7.24,10.72,2.73,3.13
288,2,2025-01-11 18:15:15,7.89,6.57,0.65,4.98
289,2,2025-01-12 04:54:19,7.99,11.2,1.49,2.34
290,1,2025-01-12 04:40:57,6.71,11.55,1.23,2.84
291,3,2025-01-12 11:38:18,7.9,11.93,0.89,0.32
292,2,2025-01-12 13:50:05,8.11,10.95,1.37,3.79
293,3,2025-01-12 03:29:54,7.86,7.59,2.71,0.8
294,2,2025-01-12 15:27:48,6.9,8.45,2.55,4.29
295,2,2025-01-12 15:00:05,6.66,5.37,1.23,0.18
296,2,2025-01-12 03:30:21,7.4,11.88,2.63,4.24
297,1,2025-01-12 03:17:42,6.69,8.37,0.57,3.59
298,1,2025-01-12 13:59:45,7.12,7.84,2.04,4.02
299,3,2025-01-12 07:19:04,7.29,11.83,1.32,4.9
300,3,2025-01-11 23:21:48,6.52,8.64,2.34,0.25
301,1,2025-01-12 07:02:17,7.39,11.03,2.22,4.4
302,3,2025-01-12 12:50:14,8.01,7.89,1.28,4.11
303,2,2025-01-12 10:15:07,7.82,8.68,0.53,0.53
304,1,2025-01-12 00:20:47,6.61,8.31,2.88,3.95
305,2,2025-01-12 05:50:07,7.08,8.87,2.18,2.66
306,3,2025-01-11 23:58:13,6.68,9.52,1.93,0.16
307,3,2025-01-12 11:14:51,7.72,5.29,0.71,3.51
308,1,2025-01-11 21:46:31,7.73,5.17,0.6,3.97
309,3,2025-01-11 22:53:39,6.83,11.65,1.2,2.21
310,1,2025-01-12 04:01:47,7.32,11.53,2.52,0.52
311,3,2025-01-12 00:12:44,7.01,7.15,1.07,1.53
312,3,2025-01-12 13:55:12,6.97,10.58,1.13,3.41
313,1,2025-01-12 17:53:43,7.07,10.05,2.99,0.48
314,1,2025-01-11 22:58:55,7.24,9.18,0.65,3.62
315,2,2025-01-12 03:23:01,7.01,8.38,1.13,3.39
316,1,2025-01-12 03:24:06,7.5,6.88,1.93,3.21
317,2,2025-01-12 05:02:28,7.12,10.79,1.84,2.76
318,2,2025-01-12 03:43:26,7.04,6.24,2.43,3.89
319,1,2025-01-12 00:23:53,7.56,10.73,1.63,1.01
320,1,2025-01-12 07:49:09,7.63,11.58,2.88,4.4
321,3,2025-01-12 14:55:52,8.17,7.8,1.97,3.95
322,1,2025-01-11 19:07:42,7.14,9.69,0.6,1.65
323,1,2025-01-12 07:07:39,6.86,9.23,2.75,3.16
324,3,2025-01-11 23:22:07,6.98,9.45,2.85,4.93
325,3,2025-01-12 17:06:07,8.44,9.57,2.78,3.11
326,1,2025-01-12 11:16:29,8.29,9.25,1.07,2.71
327,1,2025-01-12 14:12:07,8.18,10.54,1.69,4.18
328,3,2025-01-12 13:46:26,7.84,5.86,1.52,4.14
329,3,2025-01-12 12:08:36,6.91,8.16,2.73,2.64
330,2,2025-01-12 13:08:09,6.78,10.84,1.66,4.11
331,2,2025-01-12 04:02:13,7.19,7.76,2.01,4.71
332,3,2025-01-11 18:33:00,6.7,5.92,1.74,4.96
333,2,2025-01-11 21:49:13,7.61,11.43,2.6,0.87
334,3,2025-01-11 20:00:55,6.56,11.38,2.23,4.63
335,3,2025-01-12 06:00:33,6.73,8.11,1.32,1.5
336,3,2025-01-11 18:25:28,8.24,9.13,2.41,2.38
337,3,2025-01-12 01:32:49,7.77,8.5,2.35,4.57
338,1,2025-01-12 01:40:40,8.0,7.84,2.02,0.26
339,2,2025-01-12 02:14:43,8.12,5.02,2.75,2.23
340,2,2025-01-12 00:13:50,7.19,11.23,1.58,0.86
341,1,2025-01-12 06:29:04,6.97,7.15,2.0,2.28
342,2,2025-01-12 17:33:27,8.42,10.68,2.78,4.32
343,1,2025-01-11 22:25:25,7.49,11.87,2.49,2.41
344,1,2025-01-12 05:58:11,7.42,9.44,1.09,1.15
345,1,2025-01-11 18:06:26,8.4,11.93,0.92,2.68
346,1,2025-01-12 16:13:58,6.62,6.02,1.26,4.63
347,1,2025-01-12 06:00:02,6.88,6.39,1.32,2.92
348,3,2025-01-12 15:17:30,8.46,7.25,0.63,3.15
349,3,2025-01-12 11:03:37,8.01,8.1,1.05,0.83
350,1,2025-01-12 06:58:13,7.89,9.25,2.62,4.07
351,1,2025-01-11 21:02:21,6.65,8.12,2.64,3.12
352,2,2025-01-12 03:41:17,6.86,9.66,2.31,2.02
353,3,2025-01-12 08:54:28,7.56,6.29,2.11,2.33
354,3,2025-01-12 00:09:55,7.7,11.16,1.4,1.04
355,3,2025-01-12 07:29:21,7.43,7.27,2.19,0.16
356,3,2025-01-11 18:16:16,6.58,7.25,0.74,2.12
357,1,2025-01-12 11:36:38,7.49,10.6,1.03,0.92
358,1,2025-01-12 05:31:04,7.32,8.2,2.99,0.98
359,2,2025-01-12 06:18:14,7.42,11.76,1.89,3.29
360,1,2025-01-12 07:07:53,6.85,10.7,0.88,1.09
361,2,2025-01-11 20:37:30,7.63,9.23,0.79,3.43
362,2,2025-01-12 12:03:21,7.54,6.91,0.99,3.57
363,3,2025-01-12 08:00:58,6.57,7.93,1.68,1.64
364,2,2025-01-11 18:25:46,7.93,5.88,1.06,0.65
365,2,2025-01-12 03:20:51,6.63,8.33,0.74,4.77
366,3,2025-01-12 04:08:24,7.59,9.28,1.11,1.08
367,1,2025-01-12 01:38:12,7.63,9.09,1.51,1.44
368,2,2025-01-11 20:02:55,8.42,9.52,0.98,3.16
369,1,2025-01-12 07:43:07,7.47,8.7,0.65,1.14
370,2,2025-01-12 13:55:34,6.94,8.07,1.92,3.71
371,3,2025-01-11 22:36:07,6.63,11.31,0.94,0.51
372,2,2025-01-12 17:36:07,6.8,9.97,1.53,0.8
373,1,2025-01-12 15:29:52,7.65,5.78,1.5,4.9
374,3,2025-01-12 02:23:49,8.46,7.2,2.96,2.64
375,2,2025-01-12 06:20:41,8.23,9.98,2.52,4.78
376,1,2025-01-12 00:49:21,6.99,11.85,2.61,0.19
377,3,2025-01-11 19:58:58,8.3,7.49,0.52,3.59
378,2,2025-01-12 02:39:28,7.91,9.58,2.75,4.52
379,2,2025-01-12 08:17:15,6.68,10.45,0.78,2.87
380,2,2025-01-12 06:55:03,6.74,10.15,1.02,2.7
381,1,2025-01-12 16:52:56,6.5,8.39,1.26,0.26
382,2,2025-01-12 01:08:13,7.12,5.72,1.24,0.46
383,3,2025-01-12 07:26:51,8.37,10.91,2.64,4.77
384,1,2025-01-11 20:29:47,6.76,8.71,1.23,1.74
385,1,2025-01-12 08:36:07,7.62,7.92,0.62,0.3
386,2,2025-01-12 16:57:08,8.13,11.41,0.56,2.63
387,1,2025-01-12 06:44:42,7.39,11.58,2.31,2.53
388,3,2025-01-12 05:55:22,6.54,6.98,2.12,3.63
389,1,2025-01-11 23:28:47,6.73,7.49,1.91,0.4
390,3,2025-01-12 02:43:31,6.98,8.6,2.67,4.52
391,2,2025-01-12 12:00:59,7.79,11.25,1.35,3.99
392,1,2025-01-12 01:45:13,7.32,10.48,1.14,2.86
393,1,2025-01-12 10:47:05,8.06,7.27,1.97,4.63
394,3,2025-01-12 17:41:47,6.8,5.08,1.18,4.65
395,3,2025-01-11 20:01:56,8.22,8.59,2.78,3.08
396,3,2025-01-12 05:36:50,7.46,7.73,2.45,3.2
397,2,2025-01-11 22:07:34,7.34,10.25,2.76,4.23
398,2,2025-01-12 04:33:06,8.16,6.2,0.67,2.74
399,3,2025-01-11 19:56:11,8.15,6.62,0.8,3.42
400,1,2025-01-12 02:32:16,7.87,8.43,2.66,2.3
401,2,2025-01-11 18:01:42,7.61,6.46,1.21,1.78
402,2,2025-01-11 20:00:03,7.69,11.96,1.41,4.2
403,1,2025-01-12 02:22:10,7.15,10.39,0.99,4.32
404,3,2025-01-11 19:44:14,8.17,8.84,1.15,2.84
405,2,2025-01-12 03:12:04,7.87,7.66,1.63,1.45
406,1,2025-01-12 16:22:18,7.42,10.52,2.45,4.5
407,1,2025-01-12 02:36:03,6.83,10.32,1.74,4.35
408,2,2025-01-11 18:14:32,7.38,10.77,2.85,4.1
409,1,2025-01-12 05:34:25,8.35,8.75,2.13,2.53
410,1,2025-01-12 17:17:53,6.79,10.59,1.19,0.85
411,3,2025-01-12 03:45:14,7.59,8.64,1.85,1.02
412,1,2025-01-12 00:31:24,8.12,8.42,1.7,2.53
413,1,2025-01-12 10:36:36,7.25,5.91,2.95,4.99
414,3,2025-01-11 20:31:26,8.28,5.55,2.89,2.93
415,2,2025-01-11 20:36:32,8.38,5.22,0.59,3.03
416,1,2025-01-11 22:29:56,7.22,5.28,1.0,1.09
417,2,2025-01-12 01:45:32,7.58,11.4,2.99,3.92
418,1,2025-01-12 17:23:08,6.82,10.26,2.67,4.03
419,2,2025-01-12 02:33:17,8.39,6.11,2.08,2.27
420,1,2025-01-11 19:07:09,8.28,8.1,1.5,0.62
421,3,2025-01-12 13:53:58,7.43,11.11,2.76,0.18
